tipo;temp_aire_k;temp_proceso_k;velocidad_rpm;torque_nm;torque_predicho;residual;desgaste_min;nivel_desgaste;falla_maquina
M;298,1;308,6;1551;42,8;39,43850705242438;3,36149294757562;0;Bajo (0-100 min);0
L;298,2;308,7;1408;46,3;46,361668016283375;-0,06166801628337737;3;Bajo (0-100 min);0
L;298,1;308,5;1498;49,4;42,01262707917484;7,3873729208251575;5;Bajo (0-100 min);0
L;298,2;308,6;1433;39,5;45,1591065316116;-5,659106531611599;7;Bajo (0-100 min);0
L;298,2;308,7;1408;40,0;46,357158385108924;-6,357158385108924;9;Bajo (0-100 min);0
M;298,1;308,6;1425;41,9;45,53224673750025;-3,632246737500253;11;Bajo (0-100 min);0
L;298,1;308,6;1558;42,4;39,08898417178238;3,31101582821762;14;Bajo (0-100 min);0
L;298,1;308,6;1527;40,2;40,58876848209804;-0,3887684820980368;16;Bajo (0-100 min);0
M;298,3;308,7;1667;28,6;33,81866125691779;-5,218661256917791;18;Bajo (0-100 min);0
M;298,5;309,0;1741;28,0;30,221770629523093;-2,2217706295230926;21;Bajo (0-100 min);0
H;298,4;308,9;1782;23,9;28,233820263913145;-4,333820263913147;24;Bajo (0-100 min);0
H;298,6;309,1;1423;44,3;45,6161837649437;-1,3161837649437018;29;Bajo (0-100 min);0
M;298,6;309,1;1339;51,1;49,68043063378435;1,4195693662156543;34;Bajo (0-100 min);0
M;298,6;309,2;1742;30,0;30,1502773703873;-0,15027737038730038;37;Bajo (0-100 min);0
L;298,6;309,2;2035;19,6;15,958434052632555;3,6415659473674467;40;Bajo (0-100 min);0
L;298,6;309,2;1542;48,4;39,83224528445468;8,56775471554532;42;Bajo (0-100 min);0
M;298,6;309,2;1311;46,6;51,01775553481642;-4,417755534816422;44;Bajo (0-100 min);0
M;298,7;309,2;1410;45,6;46,23234878983661;-0,6323487898366054;47;Bajo (0-100 min);0
H;298,8;309,2;1306;54,5;51,27795387400358;3,222046125996421;50;Bajo (0-100 min);0
M;298,9;309,3;1632;32,5;35,48658429806301;-2,9865842980630077;55;Bajo (0-100 min);0
H;298,9;309,3;1375;42,7;47,930487315435;-5,230487315434999;58;Bajo (0-100 min);0
L;298,8;309,3;1450;44,8;44,28329965100879;0,5167003489912076;63;Bajo (0-100 min);0
M;298,9;309,3;1581;30,7;37,94892836081734;-7,248928360817342;65;Bajo (0-100 min);0
L;299,0;309,4;1758;25,7;29,3749278206026;-3,6749278206026013;68;Bajo (0-100 min);0
M;299,0;309,4;1561;37,3;38,913864661156516;-1,6138646611565193;70;Bajo (0-100 min);0
L;299,0;309,5;1861;23,3;24,371860256883195;-1,0718602568831948;73;Bajo (0-100 min);0
L;299,1;309,5;1512;39,0;41,283231222802364;-2,283231222802364;75;Bajo (0-100 min);0
H;299,1;309,4;1811;24,6;26,81272841065894;-2,21272841065894;77;Bajo (0-100 min);0
L;299,1;309,4;1439;44,2;44,82442063316596;-0,6244206331659541;82;Bajo (0-100 min);0
L;299,0;309,4;1693;30,1;32,51076306798571;-2,4107630679857053;84;Bajo (0-100 min);0
M;299,1;309,5;1339;48,2;49,65311650378907;-1,4531165037890688;86;Bajo (0-100 min);0
L;299,0;309,4;1798;25,5;27,421998923482803;-1,9219989234828034;89;Bajo (0-100 min);0
L;299,0;309,4;1419;48,3;45,774946369478656;2,5250536305213416;91;Bajo (0-100 min);0
L;298,9;309,3;1665;32,5;33,859878520517206;-1,3598785205172064;93;Bajo (0-100 min);0
M;298,8;309,1;1559;34,7;39,00284900465384;-4,302849004653837;95;Bajo (0-100 min);0
M;298,8;309,2;1452;48,6;44,171296888374314;4,428703111625687;98;Bajo (0-100 min);0
M;298,9;309,2;1581;36,7;37,933031252387586;-1,2330312523875833;101;Moderado (100-200 min);0
